Apr 04 00:25:32.428 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Coverdiscs - [IMG] (TOSEC-v2017-09-17_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Coverdiscs - [IMG] (TOSEC-v2017-09-17_CM).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.441 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Games (TOSEC-v2020-10-26_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Games (TOSEC-v2020-10-26_CM).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.460 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Applications (TOSEC-v2017-09-15_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Applications (TOSEC-v2017-09-15_CM).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.471 INFO PANASONIC_3DO: dats/PANASONIC_3DO/Panasonic - 3DO Interactive Multiplayer - Datfile (543) (2021-03-26 21-07-45).dat, path: dats/PANASONIC_3DO/Panasonic - 3DO Interactive Multiplayer - Datfile (543) (2021-03-26 21-07-45).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.502 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Coverdiscs - [ISO] (TOSEC-v2012-07-05_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Coverdiscs - [ISO] (TOSEC-v2012-07-05_CM).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.503 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Games (TOSEC-v2017-09-25_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Games (TOSEC-v2017-09-25_CM).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.504 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Compilations (TOSEC-v2017-09-25_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Compilations (TOSEC-v2017-09-25_CM).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.504 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Applications - [IMG] (TOSEC-v2017-09-15_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Applications - [IMG] (TOSEC-v2017-09-15_CM).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.505 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Firmware (TOSEC-v2017-07-07_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Firmware (TOSEC-v2017-07-07_CM).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.506 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Applications - [ISO] (TOSEC-v2012-07-05_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Applications - [ISO] (TOSEC-v2012-07-05_CM).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.507 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Educational (TOSEC-v2012-07-05_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Educational (TOSEC-v2012-07-05_CM).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.509 INFO PANASONIC_3DO: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Demos (TOSEC-v2020-07-14_CM).dat, path: dats/PANASONIC_3DO/3DO 3DO Interactive Multiplayer - Homebrew - Demos (TOSEC-v2020-07-14_CM).dat, platform_id: PANASONIC_3DO
Apr 04 00:25:32.526 INFO PHILIPS_CDI: dats/PHILIPS_CDI/Philips - CD-i - Datfile (678) (2021-04-02 20-48-21).dat, path: dats/PHILIPS_CDI/Philips - CD-i - Datfile (678) (2021-04-02 20-48-21).dat, platform_id: PHILIPS_CDI
Apr 04 00:25:32.572 INFO NINTENDO_N3DS: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Decrypted) (20210101-002056).dat, path: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Decrypted) (20210101-002056).dat, platform_id: NINTENDO_N3DS
Apr 04 00:25:32.573 INFO NINTENDO_N3DS: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Encrypted) (20210101-002056).dat, path: dats/NINTENDO_N3DS/Nintendo - New Nintendo 3DS (Encrypted) (20210101-002056).dat, platform_id: NINTENDO_N3DS
Apr 04 00:25:32.611 INFO MICROSOFT_XBOX: dats/MICROSOFT_XBOX/Microsoft - Xbox - Datfile (2472) (2021-03-29 21-29-28).dat, path: dats/MICROSOFT_XBOX/Microsoft - Xbox - Datfile (2472) (2021-03-29 21-29-28).dat, platform_id: MICROSOFT_XBOX
Apr 04 00:25:32.708 INFO MICROSOFT_XBOX: dats/MICROSOFT_XBOX/Microsoft - Xbox - BIOS Datfile (7) (2010-09-13).dat, path: dats/MICROSOFT_XBOX/Microsoft - Xbox - BIOS Datfile (7) (2010-09-13).dat, platform_id: MICROSOFT_XBOX
Apr 04 00:25:32.735 INFO NINTENDO_GBA: dats/NINTENDO_GBA/Nintendo - Game Boy Advance (20210326-211504).dat, path: dats/NINTENDO_GBA/Nintendo - Game Boy Advance (20210326-211504).dat, platform_id: NINTENDO_GBA
Apr 04 00:25:32.872 INFO NINTENDO_GBA: dats/NINTENDO_GBA/OpenGBA.MB.dat, path: dats/NINTENDO_GBA/OpenGBA.MB.dat, platform_id: NINTENDO_GBA
Apr 04 00:25:32.879 INFO NINTENDO_GBA: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Applications (TOSEC-v2011-06-20_CM).dat, path: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Applications (TOSEC-v2011-06-20_CM).dat, platform_id: NINTENDO_GBA
Apr 04 00:25:32.879 INFO NINTENDO_GBA: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Demos (TOSEC-v2012-04-13_CM).dat, path: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Demos (TOSEC-v2012-04-13_CM).dat, platform_id: NINTENDO_GBA
Apr 04 00:25:32.880 INFO NINTENDO_GBA: dats/NINTENDO_GBA/Nintendo - Game Boy Advance (Multiboot) (20210321-122109).dat, path: dats/NINTENDO_GBA/Nintendo - Game Boy Advance (Multiboot) (20210321-122109).dat, platform_id: NINTENDO_GBA
Apr 04 00:25:32.886 INFO NINTENDO_GBA: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Games (TOSEC-v2020-10-26_CM).dat, path: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Games (TOSEC-v2020-10-26_CM).dat, platform_id: NINTENDO_GBA
Apr 04 00:25:34.225 INFO NINTENDO_GBA: dats/NINTENDO_GBA/OpenGBA.GBA.dat, path: dats/NINTENDO_GBA/OpenGBA.GBA.dat, platform_id: NINTENDO_GBA
Apr 04 00:25:35.548 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Firmware (TOSEC-v2011-12-19_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Firmware (TOSEC-v2011-12-19_CM).dat, platform_id: SEGA_GG
Apr 04 00:25:35.549 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Samplers (TOSEC-v2011-06-20_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Samplers (TOSEC-v2011-06-20_CM).dat, platform_id: SEGA_GG
Apr 04 00:25:35.549 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Educational (TOSEC-v2011-06-20_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Educational (TOSEC-v2011-06-20_CM).dat, platform_id: SEGA_GG
Apr 04 00:25:35.549 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Applications (TOSEC-v2017-09-03_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Applications (TOSEC-v2017-09-03_CM).dat, platform_id: SEGA_GG
Apr 04 00:25:35.550 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Demos (TOSEC-v2017-09-03_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Demos (TOSEC-v2017-09-03_CM).dat, platform_id: SEGA_GG
Apr 04 00:25:35.558 INFO SEGA_GG: dats/SEGA_GG/Sega - Game Gear (20210331-203027).dat, path: dats/SEGA_GG/Sega - Game Gear (20210331-203027).dat, platform_id: SEGA_GG
Apr 04 00:25:35.607 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Games (TOSEC-v2017-09-03_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Games (TOSEC-v2017-09-03_CM).dat, platform_id: SEGA_GG
Apr 04 00:25:35.643 INFO SNK_NGCD: dats/SNK_NGCD/SNK Neo-Geo CD - Samplers - [ISO] (TOSEC-v2014-06-12_CM).dat, path: dats/SNK_NGCD/SNK Neo-Geo CD - Samplers - [ISO] (TOSEC-v2014-06-12_CM).dat, platform_id: SNK_NGCD
Apr 04 00:25:35.664 INFO SNK_NGCD: dats/SNK_NGCD/SNK - Neo Geo CD - Datfile (104) (2021-04-02 10-05-13).dat, path: dats/SNK_NGCD/SNK - Neo Geo CD - Datfile (104) (2021-04-02 10-05-13).dat, platform_id: SNK_NGCD
Apr 04 00:25:35.697 INFO SNK_NGCD: dats/SNK_NGCD/SNK Neo-Geo CD - Games - [Multipart] (TOSEC-v2012-09-08_CM).dat, path: dats/SNK_NGCD/SNK Neo-Geo CD - Games - [Multipart] (TOSEC-v2012-09-08_CM).dat, platform_id: SNK_NGCD
