Aug 16 23:59:12.114 INFO BANDAI_WSC: dats/BANDAI_WSC/Bandai - WonderSwan Color (20200324-193106).dat, path: dats/BANDAI_WSC/Bandai - WonderSwan Color (20200324-193106).dat, platform_id: BANDAI_WSC
Aug 16 23:59:12.119 INFO BANDAI_WSC: dats/BANDAI_WSC/Bandai WonderSwan Color - Demos (TOSEC-v2013-12-13_CM).dat, path: dats/BANDAI_WSC/Bandai WonderSwan Color - Demos (TOSEC-v2013-12-13_CM).dat, platform_id: BANDAI_WSC
Aug 16 23:59:12.126 INFO BANDAI_WSC: dats/BANDAI_WSC/Bandai WonderSwan Color - Games (TOSEC-v2013-12-13_CM).dat, path: dats/BANDAI_WSC/Bandai WonderSwan Color - Games (TOSEC-v2013-12-13_CM).dat, platform_id: BANDAI_WSC
Aug 16 23:59:12.132 INFO SEGA_32X_CD: dats/SEGA_32X_CD/Sega 32X - CD - Games - [ISO] (TOSEC-v2014-07-01_CM).dat, path: dats/SEGA_32X_CD/Sega 32X - CD - Games - [ISO] (TOSEC-v2014-07-01_CM).dat, platform_id: SEGA_32X_CD
Aug 16 23:59:12.134 INFO SEGA_32X_CD: dats/SEGA_32X_CD/Sega 32X - CD - Games - [IMG] (TOSEC-v2013-04-10_CM).dat, path: dats/SEGA_32X_CD/Sega 32X - CD - Games - [IMG] (TOSEC-v2013-04-10_CM).dat, platform_id: SEGA_32X_CD
Aug 16 23:59:12.135 INFO NINTENDO_DSI: dats/NINTENDO_DSI/Nintendo - Nintendo DSi (Encrypted) (20200727-035127).dat, path: dats/NINTENDO_DSI/Nintendo - Nintendo DSi (Encrypted) (20200727-035127).dat, platform_id: NINTENDO_DSI
Aug 16 23:59:12.136 INFO NINTENDO_DSI: dats/NINTENDO_DSI/Nintendo - Nintendo DSi (Decrypted) (20200727-035127).dat, path: dats/NINTENDO_DSI/Nintendo - Nintendo DSi (Decrypted) (20200727-035127).dat, platform_id: NINTENDO_DSI
Aug 16 23:59:12.137 INFO SEGA_SAT: dats/SEGA_SAT/Sega Saturn - Firmware (TOSEC-v2014-07-01_CM).dat, path: dats/SEGA_SAT/Sega Saturn - Firmware (TOSEC-v2014-07-01_CM).dat, platform_id: SEGA_SAT
Aug 16 23:59:12.304 INFO SEGA_SAT: dats/SEGA_SAT/Sega - Saturn - Datfile (2315) (2020-08-16 20-05-07).dat, path: dats/SEGA_SAT/Sega - Saturn - Datfile (2315) (2020-08-16 20-05-07).dat, platform_id: SEGA_SAT
Aug 16 23:59:12.629 INFO SEGA_SAT: dats/SEGA_SAT/Sega Saturn - Samplers (TOSEC-v2020-07-10_CM).dat, path: dats/SEGA_SAT/Sega Saturn - Samplers (TOSEC-v2020-07-10_CM).dat, platform_id: SEGA_SAT
Aug 16 23:59:12.633 INFO SEGA_SAT: dats/SEGA_SAT/Sega Saturn - Applications (TOSEC-v2020-06-12_CM).dat, path: dats/SEGA_SAT/Sega Saturn - Applications (TOSEC-v2020-06-12_CM).dat, platform_id: SEGA_SAT
Aug 16 23:59:12.639 INFO ATARI_2600: dats/ATARI_2600/Atari 2600 & VCS - Demos (TOSEC-v2020-07-16_CM).dat, path: dats/ATARI_2600/Atari 2600 & VCS - Demos (TOSEC-v2020-07-16_CM).dat, platform_id: ATARI_2600
Aug 16 23:59:12.644 INFO ATARI_2600: dats/ATARI_2600/Atari 2600 & VCS - Educational (TOSEC-v2019-09-02_CM).dat, path: dats/ATARI_2600/Atari 2600 & VCS - Educational (TOSEC-v2019-09-02_CM).dat, platform_id: ATARI_2600
Aug 16 23:59:12.661 INFO ATARI_2600: dats/ATARI_2600/Atari - 2600 (20200514-091155).dat, path: dats/ATARI_2600/Atari - 2600 (20200514-091155).dat, platform_id: ATARI_2600
